url,cocktail_no
https://w.namu.la/s/3418d7b90ddf0514b7847bf9495750eb40bf89be516f9fe76316ab3877832ad9efe13b721e6ed23145a843055d25803e315dc74569e795c817e5ac7dbadc1d54eb989a84a78dd46d23ae777a05504db94c1061ea13998b9eb87998b4fd6962c438c4b2e3f874b83a034bda2e5c426ae0,50
https://w.namu.la/s/14c50a94cfa337f2ca45d3acdeaecf6789fce337c4c4d6d021a526b0cff71da304fbbbeccab8a5bc27045eb24d4eac8944091bab822af716b01a8bd18a04d69faddbaa3f7766add03bd37d5331e6894bebef1c92400c16e22b0a39b356090f43,51
https://w.namu.la/s/8ac193fc8719e2e994cba85a3cbdcd56caea0ee122f3910ca7f3d39a336b646e13c851819fa7e6f053505213c0d15758d8fc5924ef6f142965b66cee9c4e9fe9fb4aceade8e17529fd9ba108dbeebdbbe2d8aa95d6d534a6b8585fdad260d4dd,52
https://w.namu.la/s/eda0c69e3601aaff405d1d50a583fd121705135358d7e698dbc910131fa18b16fa866754803af67b18805d43adcdc8a04512385833e4c4f8a0a58f9176ef670567cb145f81920fabbbfd9a30b57d117814e037f04247fbd3e88be2c61106c763c6c035642fbe7af801f14c79cb2c6ef0,53
https://w.namu.la/s/ca939b259c6b855a80d5a368a07879afc2ec9c66d2f48850185fd7e0303a5f26dbcc983a5f71a961681fc9d5b34a7b3ad5356cd84fa838fb19894d0a6849ba25cad6b6d38e08300baa4f5231b3a463908dd819d84b4f730b6cadc071aea70a47,54
https://w.namu.la/s/a7d2a84f4d20184d3100660fbccc544c6f7a285872f89ddfc43ae78805bd4b1bff2dceb59d4773bbbf84628e49b75ae3c919974974a83d197afd4f12ec77d5135af87b145090173fe88b7153c0321083e2714a967be5500eaf49de678c2672005b0c3ef653a76f951c3e49239bd1d78f,55
https://w.namu.la/s/865887f7e42d1a441c4125ed54da520264acc1f2eeb4e161fe99b670b45b9aa257b649e28bae11dad654ba224fa5920f53cb3c34aaaebc2293faf249666cc87e3412c41009e399c2c8ce2cdaf24e6224aba7db932b3b90f155d9f35fdc041b2f,56
https://w.namu.la/s/4142f903a5784d93800e98ff3bdb2fe81d219bf918ac44ab940250abadfd8737ef9656e5723e7c6f28b794fe5a3b38132bd5cdcd44b98ae9ebbeb6932ddc23f526c4fc028ecfb04b548834eeb709c74c0a01459d3f9c1cda66f9b49eeb103616,57
https://w.namu.la/s/47265bafc825069856e16f9bb24a04872fc4c8259c50381425bf3adac34abfd97602b2dc67cbf05dcfcf7d67c2b6409046f5eccdcc20a657c412993ccf32da6e3a4b1b995ed575255e968f76dbcb4e5224c7ac20d27a37dedf80f49abf8394389f1e2f52173ad0f66a2c7b420a71e700,58
https://w.namu.la/s/b21e7dd825ae7da551ad07b0b3743f3d62676bf8520e39e4ba401115b00fa4c7b3a90d57b48bf7615d98659be12390e38302d4ea39bfee3c63b1501b002954f5deb6daee618d5d03860fc558c0367b1d4aa5634c81bf06e92cb3a522eaf15b24,59
